,"([14, [False, True, True, False, True, False], 8, 4, 79, 'Communication'], [0.40218106180709956, 0.19108385853440932, 0.11857953858566593, 0.20106289006644876, 0.02568880196138132, 0.061403849044995185])","([14, [True, False, True, False, True, False], 7, 5, 100, 'STEM'], [0.301285223008605, 0.13216661678956582, 0.09881689081057349, 0.20097330207437347, 0.1411382041237262, 0.12561976319315607])","([17, [True, False, False, True, True, False], 7, 2, 91, 'Fashion'], [0.2155986709974427, 0.163819826797813, 0.1622896087884433, 0.15414254877392122, 0.22490495670784347, 0.0792443879345363])","([24, [True, True, False, False, True, False], 6, 2, 0, 'Finance'], [0.18709518759980073, 0.13866772567134375, 0.1352978894863004, 0.19658739453712074, 0.21999918682884068, 0.12235261587659373])","([18, [True, False, False, True, True, False], 1, 2, 65, 'Education'], [0.26643865156992075, 0.07995603313049815, 0.2123050305557533, 0.13838053807587378, 0.2050223292768766, 0.09789741739107745])","([18, [False, False, True, True, True, False], 1, 5, 8, 'STEM'], [0.16854548415376167, 0.14022249573973652, 0.32405887462221233, 0.13754056750740662, 0.1762057408925498, 0.053426837084333066])","([12, [True, False, False, False, True, True], 3, 1, 31, 'Finance'], [0.2192084786936186, 0.12335430378264878, 0.0535692522509579, 0.056045793651109226, 0.3858518472112322, 0.16197032441043333])","([10, [False, False, True, False, True, True], 8, 2, 21, 'STEM'], [0.1058113756933569, 0.16015717867516258, 0.3331302718708457, 0.04078034236007203, 0.25592947977242325, 0.10419135162813942])","([14, [False, True, False, True, True, False], 8, 2, 96, 'Fashion'], [0.17280821451405193, 0.17045886679244168, 0.19295774032722468, 0.27012644859043244, 0.09820256799001748, 0.09544616178583183])","([12, [False, False, True, True, True, False], 4, 4, 91, 'Education'], [0.1665635962983683, 0.2605884251504636, 0.06792720345236986, 0.14605883620247684, 0.18016630097307892, 0.1786956379232425])"
Cashier/Customer Service 72,-0.3089471561241091,-0.40238085145793256,-0.2674551077046361,-11.931253083560145,0.7664673638344219,1.3186782515501667,-0.37203606041844706,-0.4216168053412742,-0.2939937763937872,-0.3754220165687754
Nail Technician 73,-0.201498896131888,-0.30058213235363695,-0.15572989741473448,-8.17233323870991,0.5785074798827282,0.7044462533653143,-0.14172983113651533,-0.40579895650585873,-0.13882533145441645,-0.31535422319860607
Child Care Worker 74,-0.2591941950854536,-0.34653025728511844,-0.21556760145492898,-12.82111602747106,1.3806845157333152,1.5144512338842817,-0.4897423223506471,-0.4904366510770057,-0.2210093672872417,-0.18266826848355955
Crew Member at Chiptole 75,-0.3920626709369735,-0.30639671912515776,-0.23858007029997108,-13.421153837839487,0.8377574145876611,-0.3225839487416553,-0.48807844734397743,-0.8222027356560797,-0.36819348535316426,-0.5017800947918891
Host/Hostess at PJ Lobster House 76,-0.28873818939722173,-0.3714410409884429,-0.23906796156589555,-11.0274466481962,1.4525558118919515,0.7521949393014323,-0.4037317492741942,-0.5421557826957839,-0.12966428512170164,-0.24959222531595177
Kumon Teacher's Assistant 77,-0.3535334583583283,-0.40347661600417783,-0.3671039951346525,-10.482941594946428,1.7112737045998048,1.1101687608680624,-0.402612380855475,-0.46239493252678926,-0.3711287152866572,-0.15216007201608908
Barista at Starbucks 78,-0.29722574749340064,-0.40517464693403515,-0.32902849962287667,-13.51587738905515,0.6920765807954904,0.4505595523417657,-0.5063365143072249,-0.6420630524352088,-0.2649440150376922,-0.391409405310039
Barista and Retail Associate 79,-0.3953309183936803,-0.48859154445159647,-0.4127250340422936,-11.3908042059862,-0.19564774816425484,0.05992877465989608,-0.4381535189406772,-0.6153360029562294,-0.4049233479616512,-0.4717278957314024
Bakery Team Member 80,-0.32455875363939374,-0.326849306294408,-0.21562535401222854,-14.720504112189035,1.3419677849873086,0.4693412790873396,-0.5816212181570674,-0.7558832997743811,-0.22084615085706655,-0.36789639933691864
Party Hostess 81,-0.3197164430052134,-0.3837366220250077,-0.1753628358967134,-10.939522030821067,1.7485682293161344,1.3483893183369309,-0.3759081378619382,-0.43576655355446886,-0.15317998218050877,-0.22692202894981978
